support,itemsets
0.21927162367223066,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.1479514415781487,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', ""Google Men's 100% Cotton Short Sleeve Hero Tee Black""})"
0.17754172989377845,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.15781487101669195,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Nest Protect Smoke + CO White Wired Alarm-USA'})"
0.10773899848254932,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Navy"", 'Google Sunglasses'})"
0.1669195751138088,"frozenset({'Nest Cam Indoor Security Camera - USA', ""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""})"
0.1631259484066768,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Navy"", 'Nest Cam Outdoor Security Camera - USA'})"
0.1631259484066768,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Navy"", 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.12215477996965099,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', ""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""})"
0.12215477996965099,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', ""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""})"
0.1236722306525038,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Red"", 'Nest Cam Indoor Security Camera - USA'})"
0.12974203338391502,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Red"", 'Nest Cam Outdoor Security Camera - USA'})"
0.1244309559939302,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Red"", 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.10166919575113809,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee White"", ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.12215477996965099,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee White"", 'Google Sunglasses'})"
0.20106221547799696,"frozenset({'Nest Cam Indoor Security Camera - USA', ""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.19650986342943855,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee White"", 'Nest Cam Outdoor Security Camera - USA'})"
0.19499241274658574,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee White"", 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.11836115326251896,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', ""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.1433990895295903,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', ""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.13353566009104703,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', ""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.11836115326251896,"frozenset({'Google Sunglasses', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.18133535660091046,"frozenset({'Nest Cam Indoor Security Camera - USA', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.18209408194233687,"frozenset({""Google Men's Bike Short Sleeve Tee Charcoal"", 'Nest Cam Outdoor Security Camera - USA'})"
0.17981790591805766,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.10925644916540213,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.13732928679817905,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.1274658573596358,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.11532625189681335,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Google Sunglasses'})"
0.19347496206373294,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Nest Cam Indoor Security Camera - USA'})"
0.18816388467374812,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Nest Cam Outdoor Security Camera - USA'})"
0.18892261001517452,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.13732928679817905,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', ""Google Men's Vintage Badge Tee Black""})"
0.13808801213960548,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.12974203338391502,"frozenset({""Google Men's Vintage Badge Tee Black"", 'Nest Protect Smoke + CO White Wired Alarm-USA'})"
0.1433990895295903,"frozenset({'Nest Cam Indoor Security Camera - USA', ""Google Men's Vintage Badge Tee Sage""})"
0.13884673748103188,"frozenset({'Nest Cam Outdoor Security Camera - USA', ""Google Men's Vintage Badge Tee Sage""})"
0.13581183611532624,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', ""Google Men's Vintage Badge Tee Sage""})"
0.10242792109256449,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', ""Google Men's Vintage Badge Tee Sage""})"
0.12215477996965099,"frozenset({""Google Men's Vintage Badge Tee White"", 'Nest Cam Indoor Security Camera - USA'})"
0.1236722306525038,"frozenset({""Google Men's Vintage Badge Tee White"", 'Nest Cam Outdoor Security Camera - USA'})"
0.1244309559939302,"frozenset({""Google Men's Vintage Badge Tee White"", 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.11001517450682853,"frozenset({'Google Metallic Notebook Set', 'Google Sunglasses'})"
0.17298937784522003,"frozenset({'Google Metallic Notebook Set', 'Nest Cam Indoor Security Camera - USA'})"
0.16919575113808802,"frozenset({'Google Metallic Notebook Set', 'Nest Cam Outdoor Security Camera - USA'})"
0.17450682852807284,"frozenset({'Google Metallic Notebook Set', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.11305007587253414,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Google Metallic Notebook Set'})"
0.13277693474962063,"frozenset({'Google Metallic Notebook Set', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
