Product_Description,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Producte
Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,12,7,9,4,6,17,10,13,7,8,9,7,3
Nest Learning Thermostat 3rd Gen-USA - Copper,0,0,0,35,28,42,44,32,43,32,61,76,0
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,586,344,315,219,198,239,247,220,210,214,335,384,3
Nest Learning Thermostat 3rd Gen-USA - White,0,0,0,75,82,93,127,94,112,109,188,209,0
Nest Protect Smoke + CO Black Battery Alarm-USA,3,11,3,0,0,0,0,0,0,0,0,0,2
Nest Protect Smoke + CO Black Wired Alarm-USA,6,1,12,0,0,0,0,0,0,0,0,0,2
Nest Protect Smoke + CO White Battery Alarm - CA,4,3,4,4,1,5,3,2,2,4,3,3,3
Nest Protect Smoke + CO White Battery Alarm-USA,133,94,83,100,106,83,98,107,89,137,187,144,3
Nest Protect Smoke + CO White Wired Alarm - CA,5,3,3,3,0,5,2,2,2,2,3,1,3
Nest Protect Smoke + CO White Wired Alarm-USA,101,74,65,79,68,80,88,86,82,96,135,111,3
Nest Secure Alarm System Starter Pack - USA,0,0,0,0,0,0,0,0,66,77,186,169,0
Nest Thermostat E - USA,0,0,0,0,0,0,0,0,98,204,244,298,0
Pen Pencil & Highlighter Set,18,14,11,16,15,8,16,5,15,0,0,0,3
Rainbow Stylus Pen,8,7,9,6,20,0,0,1,0,3,0,0,7
Recycled Paper Journal Set,30,38,51,34,48,48,34,11,0,0,0,3,7
Red Shine 15 oz Mug,21,11,37,29,6,20,48,52,43,48,0,0,5
Red Spiral Google Notebook,11,9,19,14,12,11,3,1,0,0,0,0,7
Retractable Ballpoint Pen Red,8,3,10,11,1,0,0,0,0,1,0,0,4
Reusable Shopping Bag,19,12,16,16,1,0,0,0,0,0,0,0,4
Rubber Grip Ballpoint Pen 4 Pack,10,8,10,11,15,16,34,0,0,0,0,1,1
SPF-15 Slim & Slender Lip Balm,10,5,17,10,12,10,22,33,3,0,0,0,3
Satin Black Ballpoint Pen,4,1,1,3,8,2,13,46,0,0,0,0,5
Seat Pack Organizer,6,2,3,0,2,2,10,1,0,0,0,0,3
Softsided Travel Pouch Set,8,5,5,0,0,0,0,0,0,0,0,0,2
Spiral Notebook and Pen Set,17,6,17,14,12,9,34,9,0,3,0,0,3
Sport Bag,21,21,38,15,29,21,33,46,46,63,49,26,3
Straw Beach Mat,3,4,4,1,0,0,0,0,0,0,0,0,2
Suitcase Organizer Cubes,6,6,3,2,4,4,9,17,5,2,0,0,5
Switch Tone Color Crayon Pen,11,3,14,16,17,11,14,16,22,27,2,0,3
UpCycled Bike Saddle Bag,1,0,0,2,2,2,1,3,2,0,0,0,1
UpCycled Handlebar Bag,0,0,1,1,0,1,3,0,2,1,0,0,5
Waterproof Backpack,13,6,13,13,7,11,18,8,21,14,1,0,3
Waterproof Gear Bag,0,0,6,1,5,4,15,0,0,0,0,0,1
Waze Baby on Board Window Decal,9,4,8,3,3,5,7,8,7,7,6,11,3
Waze Dress Socks,0,0,8,7,6,6,2,11,10,7,12,1,3
Waze Men's Short Sleeve Tee,5,3,2,2,2,4,4,3,3,2,9,6,0
Waze Men's Typography Short Sleeve Tee,2,1,4,1,3,2,0,3,1,1,2,2,3
Waze Mobile Phone Vent Mount,18,6,10,4,27,7,4,23,5,12,23,26,0
Waze Mood Happy Window Decal,5,0,2,5,3,2,0,2,3,1,2,5,3
Waze Mood Ninja Window Decal,11,7,9,5,4,3,3,4,4,9,3,6,3
Waze Mood Original Window Decal,9,3,5,7,6,4,4,7,3,2,1,4,3
Waze Pack of 9 Decal Set,0,0,0,1,4,4,2,5,2,3,3,2,1
Waze Women's Short Sleeve Tee,1,1,0,0,0,2,1,1,0,1,1,2,3
Waze Women's Typography Short Sleeve Tee,1,0,1,1,2,0,0,0,1,1,3,1,0
Windup Android,31,18,34,29,24,25,36,35,36,38,35,40,3
